"TEAM1","WINNER","MATCH_ID","WIN_BY_RUNS","WIN_BY_WICKETS","TEAM2"
"SUNRISERS HYDERABAD","SUNRISERS HYDERABAD","1","35","0","ROYAL CHALLENGERS BANGALORE"
"MUMBAI INDIANS","RISING PUNE SUPERGIANT","2","0","7","RISING PUNE SUPERGIANT"
"GUJARAT LIONS","KOLKATA KNIGHT RIDERS","3","0","10","KOLKATA KNIGHT RIDERS"
"RISING PUNE SUPERGIANT","KINGS XI PUNJAB","4","0","6","KINGS XI PUNJAB"
"ROYAL CHALLENGERS BANGALORE","ROYAL CHALLENGERS BANGALORE","5","15","0","DELHI DAREDEVILS"
"GUJARAT LIONS","SUNRISERS HYDERABAD","6","0","9","SUNRISERS HYDERABAD"
"KOLKATA KNIGHT RIDERS","MUMBAI INDIANS","7","0","4","MUMBAI INDIANS"
"ROYAL CHALLENGERS BANGALORE","KINGS XI PUNJAB","8","0","8","KINGS XI PUNJAB"
"DELHI DAREDEVILS","DELHI DAREDEVILS","9","97","0","RISING PUNE SUPERGIANT"
"SUNRISERS HYDERABAD","MUMBAI INDIANS","10","0","4","MUMBAI INDIANS"
"KINGS XI PUNJAB","KOLKATA KNIGHT RIDERS","11","0","8","KOLKATA KNIGHT RIDERS"
"ROYAL CHALLENGERS BANGALORE","MUMBAI INDIANS","12","0","4","MUMBAI INDIANS"
"RISING PUNE SUPERGIANT","GUJARAT LIONS","13","0","7","GUJARAT LIONS"
"KOLKATA KNIGHT RIDERS","KOLKATA KNIGHT RIDERS","14","17","0","SUNRISERS HYDERABAD"
"DELHI DAREDEVILS","DELHI DAREDEVILS","15","51","0","KINGS XI PUNJAB"
"GUJARAT LIONS","MUMBAI INDIANS","16","0","6","MUMBAI INDIANS"
"RISING PUNE SUPERGIANT","RISING PUNE SUPERGIANT","17","27","0","ROYAL CHALLENGERS BANGALORE"
"DELHI DAREDEVILS","KOLKATA KNIGHT RIDERS","18","0","4","KOLKATA KNIGHT RIDERS"
"SUNRISERS HYDERABAD","SUNRISERS HYDERABAD","19","5","0","KINGS XI PUNJAB"
"ROYAL CHALLENGERS BANGALORE","ROYAL CHALLENGERS BANGALORE","20","21","0","GUJARAT LIONS"
"SUNRISERS HYDERABAD","SUNRISERS HYDERABAD","21","15","0","DELHI DAREDEVILS"
"KINGS XI PUNJAB","MUMBAI INDIANS","22","0","8","MUMBAI INDIANS"
"KOLKATA KNIGHT RIDERS","GUJARAT LIONS","23","0","4","GUJARAT LIONS"
"MUMBAI INDIANS","MUMBAI INDIANS","24","14","0","DELHI DAREDEVILS"
"SUNRISERS HYDERABAD","RISING PUNE SUPERGIANT","25","0","6","RISING PUNE SUPERGIANT"
"KINGS XI PUNJAB","KINGS XI PUNJAB","26","26","0","GUJARAT LIONS"
"KOLKATA KNIGHT RIDERS","KOLKATA KNIGHT RIDERS","27","82","0","ROYAL CHALLENGERS BANGALORE"
"RISING PUNE SUPERGIANT","RISING PUNE SUPERGIANT","28","3","0","MUMBAI INDIANS"
"RISING PUNE SUPERGIANT","KOLKATA KNIGHT RIDERS","29","0","7","KOLKATA KNIGHT RIDERS"
"ROYAL CHALLENGERS BANGALORE","GUJARAT LIONS","30","0","7","GUJARAT LIONS"
"DELHI DAREDEVILS","KOLKATA KNIGHT RIDERS","31","0","7","KOLKATA KNIGHT RIDERS"
