"TOSS_WINNER","TOSS_DECISION","MATCH_ID"
"SUNRISERS HYDERABAD","FIELD","6"
"MUMBAI INDIANS","FIELD","7"
"ROYAL CHALLENGERS BANGALORE","BAT","8"
"RISING PUNE SUPERGIANT","FIELD","9"
"DELHI DAREDEVILS","BAT","18"
"KINGS XI PUNJAB","FIELD","19"
"MUMBAI INDIANS","FIELD","22"
"GUJARAT LIONS","FIELD","23"
"RISING PUNE SUPERGIANT","FIELD","25"
"KOLKATA KNIGHT RIDERS","FIELD","29"
"GUJARAT LIONS","FIELD","30"
"ROYAL CHALLENGERS BANGALORE","FIELD","33"
"KOLKATA KNIGHT RIDERS","FIELD","36"
"ROYAL CHALLENGERS BANGALORE","BAT","37"
"RISING PUNE SUPERGIANT","FIELD","40"
"DELHI DAREDEVILS","FIELD","41"
"SUNRISERS HYDERABAD","FIELD","43"
"DELHI DAREDEVILS","FIELD","44"
"KOLKATA KNIGHT RIDERS","FIELD","45"
"MUMBAI INDIANS","BAT","47"
"KOLKATA KNIGHT RIDERS","FIELD","48"
"DELHI DAREDEVILS","BAT","51"
"ROYAL CHALLENGERS BANGALORE","BAT","55"
"MUMBAI INDIANS","FIELD","56"
"MUMBAI INDIANS","FIELD","58"
"RAJASTHAN ROYALS","BAT","62"
"MUMBAI INDIANS","BAT","63"
"DECCAN CHARGERS","BAT","64"
"DECCAN CHARGERS","BAT","66"
"MUMBAI INDIANS","FIELD","67"
"MUMBAI INDIANS","FIELD","69"
"KOLKATA KNIGHT RIDERS","BAT","71"
"DECCAN CHARGERS","FIELD","72"
"CHENNAI SUPER KINGS","BAT","74"
"RAJASTHAN ROYALS","BAT","78"
"CHENNAI SUPER KINGS","BAT","79"
"DECCAN CHARGERS","FIELD","85"
"MUMBAI INDIANS","FIELD","86"
"KOLKATA KNIGHT RIDERS","BAT","88"
"RAJASTHAN ROYALS","FIELD","89"
"KOLKATA KNIGHT RIDERS","BAT","92"
"ROYAL CHALLENGERS BANGALORE","BAT","94"
"DECCAN CHARGERS","FIELD","98"
"MUMBAI INDIANS","FIELD","99"
"ROYAL CHALLENGERS BANGALORE","FIELD","101"
"ROYAL CHALLENGERS BANGALORE","BAT","107"
"KINGS XI PUNJAB","FIELD","108"
"DECCAN CHARGERS","FIELD","111"
"KINGS XI PUNJAB","BAT","112"
"DECCAN CHARGERS","BAT","114"
"KINGS XI PUNJAB","BAT","116"
"RAJASTHAN ROYALS","FIELD","117"
"KOLKATA KNIGHT RIDERS","BAT","121"
"DECCAN CHARGERS","BAT","124"
"KOLKATA KNIGHT RIDERS","FIELD","126"
"ROYAL CHALLENGERS BANGALORE","BAT","127"
"DECCAN CHARGERS","BAT","128"
"DECCAN CHARGERS","FIELD","131"
"DELHI DAREDEVILS","BAT","133"
"KINGS XI PUNJAB","BAT","135"
"DELHI DAREDEVILS","FIELD","136"
"MUMBAI INDIANS","BAT","138"
"DELHI DAREDEVILS","FIELD","141"
"CHENNAI SUPER KINGS","BAT","144"
"KINGS XI PUNJAB","FIELD","145"
"KOLKATA KNIGHT RIDERS","BAT","146"
"DECCAN CHARGERS","BAT","147"
"RAJASTHAN ROYALS","FIELD","148"
"CHENNAI SUPER KINGS","BAT","149"
"MUMBAI INDIANS","BAT","150"
"DELHI DAREDEVILS","FIELD","154"
"DECCAN CHARGERS","BAT","155"
"KINGS XI PUNJAB","BAT","157"
"DECCAN CHARGERS","FIELD","158"
"DECCAN CHARGERS","FIELD","163"
"KOLKATA KNIGHT RIDERS","FIELD","168"
"CHENNAI SUPER KINGS","BAT","169"
"DELHI DAREDEVILS","FIELD","170"
"ROYAL CHALLENGERS BANGALORE","BAT","171"
"DECCAN CHARGERS","FIELD","172"
"ROYAL CHALLENGERS BANGALORE","FIELD","173"
"DECCAN CHARGERS","FIELD","175"
"KOLKATA KNIGHT RIDERS","FIELD","178"
"DELHI DAREDEVILS","FIELD","180"
"DELHI DAREDEVILS","FIELD","183"
"ROYAL CHALLENGERS BANGALORE","FIELD","184"
"KINGS XI PUNJAB","FIELD","186"
"KOLKATA KNIGHT RIDERS","BAT","191"
"CHENNAI SUPER KINGS","FIELD","192"
