"UMPIRE_ID","UMPIRE1","UMPIRE2"
"1","AK Chaudhary","C Shamshuddin"
"2","AK Chaudhary","C Shamshuddin"
"3","KN Ananthapadmanabhan","AK Chaudhary"
"4","A Nand Kishore","S Ravi"
"5","S Ravi","VK Sharma"
"6","A Nand Kishore","S Ravi"
"7","A Nand Kishore","S Ravi"
"8","Nitin Menon","CK Nandan"
"9","AY Dandekar","S Ravi"
"10","KN Ananthapadmanabhan","A Nand Kishore"
"11","Nitin Menon","CK Nandan"
"12","A Nand Kishore","S Ravi"
"13","AK Chaudhary","Nitin Menon"
"14","S Ravi","C Shamshuddin"
"15","Asad Rauf","RE Koertzen"
"16","BF Bowden","K Hariharan"
"17","Asad Rauf","MR Benson"
"18","Asad Rauf","SL Shastri"
"19","Aleem Dar","I Shivram"
"20","Asad Rauf","RE Koertzen"
"21","SJ Davis","BR Doctrove"
"22","Asad Rauf","IL Howell"
"23","IL Howell","AM Saheba"
"24","BR Doctrove","AM Saheba"
"25","AV Jayaprakash","RE Koertzen"
"26","SJ Davis","GA Pratapkumar"
"27","Asad Rauf","SJ Davis"
"28","SJ Davis","I Shivram"
"29","Asad Rauf","DJ Harper"
"30","MR Benson","SD Ranade"
"31","M Erasmus","AM Saheba"
"32","HDPK Dharmasena","SJA Taufel"
"33","BG Jerling","RB Tiffin"
"34","GAV Baxter","AM Saheba"
"35","S Asnani","BG Jerling"
"36","BR Doctrove","M Erasmus"
"37","K Hariharan","DJ Harper"
"38","GAV Baxter","HDPK Dharmasena"
"39","M Erasmus","SS Hazare"
"40","BR Doctrove","DJ Harper"
"41","S Ravi","RB Tiffin"
"42","BG Jerling","SJA Taufel"
"43","BR Doctrove","DJ Harper"
"44","RE Koertzen","RB Tiffin"
"45","BG Jerling","RE Koertzen"
"46","K Hariharan","DJ Harper"
"47","HDPK Dharmasena","SS Hazare"
"48","RE Koertzen","RB Tiffin"
"49","BR Doctrove","S Ravi"
"50","SS Hazare","SJA Taufel"
"51","K Hariharan","DJ Harper"
"52","S Asnani","DJ Harper"
"53","S Ravi","SK Tarapore"
"54","HDPK Dharmasena","SJA Taufel"
"55","RE Koertzen","RB Tiffin"
"56","HDPK Dharmasena","SS Hazare"
"57","BF Bowden","AM Saheba"
"58","BR Doctrove","RB Tiffin"
"59","RE Koertzen","SK Tarapore"
"60","RE Koertzen","SK Tarapore"
"61","S Asnani","PR Reiffel"
"62","HDPK Dharmasena","AL Hill"
"63","K Hariharan","AL Hill"
"64","S Asnani","PR Reiffel"
"65","HDPK Dharmasena","AL Hill"
"66","Asad Rauf","SL Shastri"
"67","Aleem Dar","SS Hazare"
"68","Aleem Dar","RB Tiffin"
"69","SS Hazare","RB Tiffin"
"70","Aleem Dar","RB Tiffin"
"71","SK Tarapore","RJ Tucker"
"72","HDPK Dharmasena","K Hariharan"
"73","S Ravi","SK Tarapore"
"74","Asad Rauf","AM Saheba"
"75","Asad Rauf","AM Saheba"
"76","Asad Rauf","SJA Taufel"
"77","JD Cloete","SJA Taufel"
"78","S Asnani","S Ravi"
"79","AK Chaudhary","JD Cloete"
"80","HDPK Dharmasena","RJ Tucker"
"81","Aleem Dar","BNJ Oxenford"
"82","Aleem Dar","BNJ Oxenford"
"83","Asad Rauf","S Das"
"84","S Ravi","RJ Tucker"
"85","Aleem Dar","BNJ Oxenford"
"86","Asad Rauf","BR Doctrove"
"87","Aleem Dar","AK Chaudhary"
"88","HDPK Dharmasena","BNJ Oxenford"
"89","HDPK Dharmasena","BNJ Oxenford"
"90","BF Bowden","VA Kulkarni"
"91","S Das","BR Doctrove"
"92","JD Cloete","SJA Taufel"
"93","HDPK Dharmasena","C Shamshuddin"
"94","S Ravi","SJA Taufel"
"95","BR Doctrove","SJA Taufel"
"96","S Ravi","SJA Taufel"
"97","AK Chaudhary","S Ravi"
"98","Asad Rauf","AK Chaudhary"
"99","Asad Rauf","AK Chaudhary"
"100","CK Nandan","SJA Taufel"
"101","M Erasmus","VA Kulkarni"
"102","HDPK Dharmasena","S Ravi"
"103","HDPK Dharmasena","S Ravi"
"104","VA Kulkarni","K Srinath"
"105","M Erasmus","K Srinath"
"106","HDPK Dharmasena","CK Nandan"
"107","Asad Rauf","S Asnani"
"108","S Ravi","SJA Taufel"
"109","HDPK Dharmasena","S Ravi"
"110","S Das","RJ Tucker"
"111","AK Chaudhary","SJA Taufel"
"112","VA Kulkarni","NJ Llong"
"113","C Shamshuddin","RJ Tucker"
"114","C Shamshuddin","SJA Taufel"
"115","RK Illingworth","C Shamshuddin"
"116","BF Bowden","M Erasmus"
"117","Aleem Dar","VA Kulkarni"
"118","HDPK Dharmasena","RK Illingworth"
"119","Aleem Dar","AK Chaudhary"
"120","SS Hazare","S Ravi"
"121","S Ravi","K Srinath"
"122","S Ravi","K Srinath"
"123","S Ravi","RJ Tucker"
"124","VA Kulkarni","PG Pathak"
"125","NJ Llong","CK Nandan"
"126","RM Deshpande","C Shamshuddin"
"127","S Ravi","RJ Tucker"
"128","HDPK Dharmasena","VA Kulkarni"
"129","HDPK Dharmasena","RJ Tucker"
"130","SD Fry","CB Gaffaney"
"131","AK Chaudhary","K Srinivasan"
"132","CB Gaffaney","K Srinath"
"133","SD Fry","CK Nandan"
"134","M Erasmus","S Ravi"
"135","M Erasmus","S Ravi"
"136","HDPK Dharmasena","CB Gaffaney"
"137","RK Illingworth","S Ravi"
"138","RK Illingworth","VA Kulkarni"
"139","HDPK Dharmasena","CB Gaffaney"
"140","AK Chaudhary","HDPK Dharmasena"
"141","AK Chaudhary","HDPK Dharmasena"
"142","AK Chaudhary","HDPK Dharmasena"
"143","CB Gaffaney","K Srinath"
"144","HDPK Dharmasena","RK Illingworth"
"145","HDPK Dharmasena","VK Sharma"
"146","AK Chaudhary","CK Nandan"
"147","HDPK Dharmasena","VK Sharma"
"148","CB Gaffaney","VK Sharma"
"149","CB Gaffaney","A Nand Kishore"
"150","Nitin Menon","RJ Tucker"
"151","BNJ Oxenford","VK Sharma"
"152","AK Chaudhary","HDPK Dharmasena"
"153","HDPK Dharmasena","CK Nandan"
"154","CB Gaffaney","VK Sharma"
"155","AY Dandekar","VK Sharma"
"156","CB Gaffaney","A Nand Kishore"
"157","A Nand Kishore","BNJ Oxenford"
"158","A Nand Kishore","BNJ Oxenford"
"159","HDPK Dharmasena","BNJ Oxenford"
"160","Nitin Menon","CK Nandan"
"161","Nitin Menon","CK Nandan"
"162","A Deshmukh","NJ Llong"
"163","YC Barde","Nitin Menon"
"164","AY Dandekar","A Deshmukh"
"165","CB Gaffaney","Nitin Menon"
"166","CB Gaffaney","CK Nandan"
"167","NJ Llong","S Ravi"
"168","YC Barde","CK Nandan"
"169","YC Barde","Nitin Menon"
"170","KN Ananthapadmanabhan","AK Chaudhary"
"171","KN Ananthapadmanabhan","M Erasmus"
"172","KN Ananthapadmanabhan","CK Nandan"
"173","CK Nandan","C Shamshuddin"
"174","NJ Llong","S Ravi"
"175","SJ Davis","DJ Harper"
"176","DJ Harper","GA Pratapkumar"
"177","BF Bowden","AV Jayaprakash"
"178","BF Bowden","AV Jayaprakash"
"179","BF Bowden","K Hariharan"
"180","Asad Rauf","AV Jayaprakash"
"181","Aleem Dar","RB Tiffin"
"182","AV Jayaprakash","BG Jerling"
"183","Asad Rauf","IL Howell"
"184","BR Doctrove","DJ Harper"
"185","Asad Rauf","K Hariharan"
"186","DJ Harper","I Shivram"
"187","BR Doctrove","SL Shastri"
"188","BF Bowden","RE Koertzen"
"189","BR Doctrove","RB Tiffin"
"190","DJ Harper","SD Ranade"
"191","BR Doctrove","TH Wijewardene"
"192","IL Howell","TH Wijewardene"
"193","MR Benson","SL Shastri"
"194","HDPK Dharmasena","S Ravi"
"195","RE Koertzen","TH Wijewardene"
"196","MR Benson","HDPK Dharmasena"
"197","GAV Baxter","AM Saheba"
"198","GAV Baxter","HDPK Dharmasena"
"199","BR Doctrove","DJ Harper"
"200","RE Koertzen","S Ravi"
"201","IL Howell","RB Tiffin"
"202","IL Howell","S Ravi"
"203","RE Koertzen","RB Tiffin"
"204","K Hariharan","DJ Harper"
