"UMPIRE_ID","VENUE_ID","SEASON_ID","ECONOMY","MATCH_ID","AVG_RUN_RATE"
"1004","16","6","9.02950770514352110E+00","1","1.70000004768371580E+00"
"4","1006","6","9.25566796461741250E+00","2","3.49999994039535520E-01"
"8","1010","6","1.12352615594863890E+01","3","2.31666660308837890E+00"
"1","8","6","8.08856491247812850E+00","4","2.55263149738311770E-01"
"1161","10","6","7.61585740248362340E+00","5","6.99999988079071040E-01"
"8","23","6","8.19059781233469590E+00","10","8.07894766330718990E-01"
"162","6","6","9.47015248812161840E+00","11","1.71176469326019290E+00"
"3","10","6","7.34754920005798340E+00","12","3.97368431091308590E-01"
"4","1010","6","8.92768250978909880E+00","13","9.77777779102325440E-01"
"1004","6","6","7.67645859718322750E+00","14","6.49999976158142090E-01"
"163","7","6","7.66086554527282630E+00","15","2.15000009536743160E+00"
"4","23","6","8.92621743679046630E+00","16","5.00000007450580600E-02"
"1164","10","6","7.08900997855446490E+00","17","1.10000002384185790E+00"
"5","1010","6","1.01474807262420650E+01","20","1.25000000000000000E+00"
"1165","16","6","8.93726638952890970E+00","21","8.99999976158142090E-01"
"4","23","6","6.55353290384466010E+00","24","3.00000011920928960E-01"
"291","1010","6","8.85889827288114160E+00","26","1.39999997615814210E+00"
"166","6","6","5.78165733814239500E+00","27","1.95000004768371580E+00"
"4","23","6","7.66435085643421580E+00","28","2.50000000000000000E-01"
"167","6","6","9.15447286764780620E+00","31","1.23235297203063960E+00"
"8","14","6","1.03332478205362970E+01","32","1.39999997615814210E+00"
"303","1010","6","7.94146943092346190E+00","34","5.00000000000000000E-01"
"168","14","6","5.76103650439869240E+00","35","4.80555534362792970E+00"
"1006","1006","6","8.14225471019744870E+00","38","3.00000011920928960E-01"
"163","7","6","1.00298693396828380E+01","39","4.49999988079071040E-01"
"1011","10","6","6.83753579854965210E+00","42","4.05263155698776250E-01"
"1012","14","6","9.45897312959035300E+00","46","0.00000000000000000E+00"
"1172","1003","6","1.03194571336110440E+01","49","5.00000000000000000E-01"
"1013","23","6","1.07718494121844960E+01","50","2.50000000000000000E-01"
"13","1003","6","8.73607480525970280E+00","52","7.05263137817382810E-01"
"4","6","6","8.00237035751342770E+00","53","0.00000000000000000E+00"
"164","1006","6","5.87389709552129080E+00","54","2.04166674613952640E+00"
"13","10","6","7.56960847161032910E+00","57","1.28333330154418950E+00"
"167","16","6","6.23852957378734190E+00","59","1.00000001490116120E-01"
"15","10","1001","8.78003705631602750E+00","60","6.31250000000000000E+00"
"193","15","1001","1.14026175340016670E+01","61","1.89999997615814210E+00"
"68","17","1001","9.29443634473360450E+00","65","1.10526315867900850E-01"
"17","16","1001","1.03996568459730870E+01","68","1.00000001490116120E-01"
"1018","10","1001","7.48486153284708690E+00","70","1.04999995231628420E+00"
"1178","15","1001","7.70517230033874420E+00","73","3.00000011920928960E-01"
"177","6","1001","7.58889425717867370E+00","75","2.73684203624725340E-01"
